,Model,EnglishFinance1Retrieval,EnglishFinance2Retrieval,EnglishFinance3Retrieval,EnglishFinance4Retrieval,FinQARetrieval,FinanceBenchRetrieval,HC3FinanceRetrieval
0,voyage-3-large,81.072,86.64500000000001,79.364,59.973,84.987,92.984,76.008
1,voyage-3.5,81.878,88.505,77.702,56.724,85.45,91.594,70.976
2,voyage-3.5 (output_dtype=int8),81.581,88.28099999999999,77.637,56.69800000000001,85.521,91.57300000000001,70.914
3,gemini-embedding-001,73.324,67.396,83.304,57.57299999999999,64.644,91.571,77.583
4,voyage-3.5 (output_dtype=binary),76.015,84.824,72.255,52.931,81.687,88.017,63.575
5,Qwen3-Embedding-8B,75.375,64.95400000000001,78.063,55.382,63.434999999999995,82.75099999999999,71.91199999999999
6,NV-Embed-v2,75.316,61.007999999999996,85.086,56.02,58.058,73.951,82.415
7,text-embedding-004,70.52199999999999,61.370000000000005,80.023,53.982,59.40800000000001,84.334,75.02
8,GritLM-7B,75.732,59.158,77.401,53.733,55.384,83.21300000000001,75.35300000000001
9,Cohere-embed-v4.0 (output_dtype=int8),73.842,75.481,73.43499999999999,47.961999999999996,74.453,88.327,62.765
10,Cohere-embed-v4.0,73.847,75.301,73.107,47.769,74.063,88.325,62.6
11,jina-embeddings-v4,74.221,71.856,74.25500000000001,51.28,68.432,79.945,63.415
12,text-embedding-005,69.114,61.053999999999995,80.147,53.721,59.114999999999995,82.369,74.316
13,Cohere-embed-v4.0 (output_dtype=binary),72.622,70.903,70.025,45.975,71.314,85.052,59.443
14,text-embedding-3-large,70.158,55.235,74.774,52.82599999999999,53.681,83.648,65.93
15,snowflake-arctic-embed-l-v2.0,72.076,58.482,67.53,47.286,56.596999999999994,75.63600000000001,54.413999999999994
16,e5-mistral-7b-instruct,69.01899999999999,51.105999999999995,74.453,52.713,49.897000000000006,66.54299999999999,36.412
17,text-embedding-3-small,67.313,47.823,67.377,47.21,47.483,78.187,56.684
18,multilingual-e5-large-instruct,68.565,48.676,66.849,49.14,45.062999999999995,79.669,51.217
19,gte-base-en-v1.5,68.087,55.306999999999995,68.51,45.282,53.903999999999996,65.03,57.089999999999996
20,bge-large-en-v1.5,68.399,47.875,69.125,44.377,45.744,69.215,59.696000000000005
21,bge-m3,72.033,58.08,65.89500000000001,43.065,55.726,66.52900000000001,50.712999999999994
22,bge-m3-unsupervised,70.951,51.083999999999996,61.598,44.466,50.593999999999994,73.06700000000001,45.266
23,mxbai-embed-large-v1,67.002,48.436,68.854,44.497,46.205,67.29,58.665
24,UAE-Large-V1,66.27300000000001,46.547,69.378,44.723,45.999,67.619,58.835
25,bge-large-en,67.911,49.503,68.69800000000001,44.024,47.174,66.172,58.07600000000001
26,mdbr-leaf-ir,71.382,50.574,61.527,41.002,49.714000000000006,72.92699999999999,45.266
27,gte-multilingual-base,66.349,46.591,67.251,46.717,44.011,68.827,52.991
28,bm25s,75.345,76.472,45.123000000000005,31.730000000000004,73.872,46.676,28.977000000000004
29,bge-base-en-v1.5,68.365,45.984,63.724000000000004,43.095,44.443,67.55600000000001,52.203
30,all-mpnet-base-v2,55.18300000000001,37.233,73.657,46.681,37.105,66.955,63.53
31,bge-base-en,66.682,47.465,62.356,43.074,44.533,66.975,49.372
32,multilingual-e5-small,68.145,50.305,54.943,41.746,49.897000000000006,66.54299999999999,36.412
33,Cohere-embed-multilingual-v3.0,67.297,47.656,60.952,38.782,44.995000000000005,71.41300000000001,46.08
34,mdbr-leaf-mt,65.527,46.314,62.563,40.657,45.146,68.474,47.217999999999996
35,jina-embeddings-v2-base-en,61.787000000000006,45.540000000000006,65.5,44.067,45.45,62.602000000000004,49.251
36,Cohere-embed-english-v3.0,64.12400000000001,53.300000000000004,53.449000000000005,36.406,45.580999999999996,71.396,37.211
37,bge-small-en-v1.5,65.437,43.241,62.07899999999999,41.726,42.663000000000004,62.32,47.785
38,snowflake-arctic-embed-m-v2.0,72.37599999999999,59.257000000000005,67.10199999999999,46.753,,,
39,multi-qa-MiniLM-L6-cos-v1,61.32300000000001,36.448,59.785,39.765,36.858000000000004,60.309000000000005,41.337
40,jina-embeddings-v2-small-en,58.591,41.565000000000005,55.97,39.294000000000004,39.507,57.793000000000006,39.983999999999995
41,all-MiniLM-L12-v2,60.086,27.82,61.047,42.821999999999996,26.899,57.777,45.31
42,all-MiniLM-L6-v2,60.02499999999999,36.262,60.465,40.967,36.045,54.956,40.424
43,bge-base-zh-v1.5,60.207,32.43,36.443999999999996,31.011,31.389,52.11599999999999,21.265
44,bge-large-zh-v1.5,55.535000000000004,32.096000000000004,35.352,31.817,30.025000000000002,55.842999999999996,23.719
45,paraphrase-multilingual-mpnet-base-v2,55.716,25.924999999999997,42.120000000000005,34.715,25.101000000000003,54.351000000000006,29.256
46,potion-base-8M,52.94799999999999,38.06,33.302,23.737,36.044,26.418999999999997,24.839
47,static-similarity-mrl-multilingual-v1,42.606,42.028999999999996,30.063000000000002,22.527,40.959,28.294000000000004,20.249
48,paraphrase-multilingual-MiniLM-L12-v2,56.574999999999996,24.85,39.003,32.701,22.983,41.603,24.893
49,potion-multilingual-128M,45.344,39.961999999999996,26.766000000000002,20.732999999999997,38.134,24.741,19.127
50,potion-base-4M,49.433,34.150000000000006,30.508000000000003,21.765,32.434000000000005,23.173,23.49
51,M2V_base_glove,44.527,39.904,25.241999999999997,20.902,36.803999999999995,20.905,18.904
52,potion-base-2M,43.5,28.653000000000002,24.437,17.921,28.110000000000003,20.903,20.365
53,bge-small-zh-v1.5,51.209,26.418999999999997,18.427,23.29,24.378,35.324,14.219999999999999
54,LaBSE,44.413000000000004,26.898,23.776,16.5,26.277,34.778999999999996,19.85
55,M2V_base_glove_subword,34.69,28.153,22.865,19.331,27.223000000000003,18.317,16.963
56,text2vec-base-multilingual,29.271,12.104,26.265,24.461,14.216999999999999,19.788,16.31
57,M2V_base_output,32.539,25.820999999999998,22.900000000000002,19.139,25.432,20.238999999999997,16.546
58,text2vec-base-chinese,34.333999999999996,14.838999999999999,12.799,14.658999999999999,12.825000000000001,22.178,10.683
59,M2V_multilingual_output,26.593,20.743000000000002,13.071,13.374,19.546,11.86,10.578999999999999
